IndividuID,Continent,Age,Sexe,EducationAnnees,Travaille,AccesInternet,TailleMenage,RevenuMensuel,DepensesMensuelles
1,Afrique,44.0,Femme,8.0,Non,0.0,3.0,2888.0,1921.2
2,Europe,30.0,Femme,12.0,Oui,0.0,5.0,5109.4,3297.4
3,Oceanie,37.0,Homme,10.0,Non,0.0,5.0,4083.4,2842.3
4,Oceanie,28.0,Femme,14.0,Non,1.0,5.0,4950.7,3248.1
5,Asie,30.0,Femme,8.0,Non,1.0,6.0,3539.3,2399.6
6,Asie,38.0,Homme,,Non,0.0,4.0,1712.2,1223.9
7,AmeriqueDuSud,29.0,Homme,13.0,Non,0.0,3.0,,
8,Asie,,Femme,7.0,Non,0.0,3.0,2787.9,2190.9
9,Oceanie,46.0,Femme,12.0,Non,1.0,5.0,4476.3,3334.1
10,Afrique,38.0,Femme,,Oui,1.0,3.0,1840.3,1329.7
11,Europe,33.0,Femme,14.0,Oui,0.0,5.0,5799.9,4474.7
12,Antarctique,34.0,Homme,8.0,Non,1.0,5.0,4566.9,3229.4
13,AmeriqueDuNord,,Femme,11.0,Non,1.0,5.0,3440.0,2259.4
14,Asie,28.0,Homme,7.0,Non,1.0,4.0,3629.5,2369.0
15,Afrique,38.0,Femme,7.0,Non,1.0,3.0,2700.3,1954.4
16,Oceanie,39.0,Femme,11.0,Non,0.0,2.0,4339.8,3231.8
17,Asie,32.0,Femme,10.0,Non,0.0,6.0,3652.7,2946.3
18,Afrique,39.0,Femme,12.0,Oui,,4.0,3792.0,2361.7
19,AmeriqueDuSud,41.0,Homme,13.0,Oui,0.0,6.0,5358.3,3561.2
20,Oceanie,38.0,Femme,6.0,Non,0.0,5.0,3638.9,2839.7
21,Oceanie,40.0,Homme,13.0,Oui,,4.0,5933.8,3792.3
22,AmeriqueDuNord,39.0,Homme,9.0,Oui,1.0,5.0,5466.7,3493.6
23,Antarctique,25.0,Homme,13.0,Non,0.0,4.0,5433.9,4130.7
24,Asie,29.0,Femme,14.0,Non,1.0,4.0,5175.6,3956.5
25,Antarctique,45.0,Homme,11.0,Non,1.0,3.0,5610.3,4240.4
26,AmeriqueDuNord,37.0,Femme,13.0,,0.0,3.0,4465.4,3093.2
27,Oceanie,30.0,Femme,12.0,Oui,1.0,4.0,5803.2,4241.3
28,Europe,43.0,Homme,10.0,Oui,1.0,2.0,5200.3,4177.8
29,Europe,32.0,Femme,11.0,Oui,0.0,5.0,5080.1,3440.8
30,Afrique,33.0,Femme,14.0,Non,0.0,6.0,4097.1,2517.2
31,AmeriqueDuNord,41.0,Homme,9.0,Non,0.0,6.0,3471.9,2702.9
32,AmeriqueDuNord,28.0,Femme,,Non,1.0,3.0,2330.8,1470.3
33,Asie,37.0,Femme,14.0,Non,1.0,2.0,4840.6,3933.7
34,Afrique,29.0,Homme,,Non,1.0,3.0,1514.2,1019.5
35,Afrique,35.0,Homme,11.0,Non,0.0,6.0,3326.0,2098.6
36,Europe,27.0,Homme,10.0,Non,0.0,2.0,4682.6,3607.9
37,Oceanie,38.0,Femme,14.0,,0.0,3.0,5375.8,4097.7
38,Afrique,27.0,Homme,12.0,Non,0.0,2.0,3881.3,2561.4
39,AmeriqueDuSud,31.0,Femme,10.0,Oui,1.0,2.0,4319.9,3430.7
40,Europe,31.0,Homme,12.0,Non,1.0,5.0,4984.5,3146.5
41,Oceanie,36.0,Homme,11.0,,1.0,4.0,4665.5,3306.7
42,Asie,31.0,Homme,7.0,Non,0.0,5.0,3489.2,2698.0
43,AmeriqueDuNord,30.0,Femme,10.0,Non,0.0,3.0,4448.9,2702.4
44,Europe,35.0,Femme,8.0,Non,0.0,5.0,3549.6,2204.3
45,Afrique,34.0,Femme,10.0,Non,0.0,4.0,3069.4,2403.1
46,Afrique,37.0,Femme,6.0,Non,1.0,3.0,2096.9,1530.7
47,Oceanie,38.0,Femme,13.0,Oui,0.0,6.0,5218.1,4111.3
48,Antarctique,37.0,Femme,9.0,Oui,0.0,3.0,4807.3,3024.7
49,Oceanie,46.0,Femme,9.0,Oui,1.0,2.0,5172.0,3019.8
50,Afrique,38.0,Homme,7.0,Oui,0.0,4.0,3721.3,2847.7
51,AmeriqueDuSud,45.0,Homme,13.0,Non,0.0,3.0,4253.7,3111.8
52,Europe,45.0,Femme,10.0,Non,1.0,4.0,4262.7,2955.7
53,AmeriqueDuNord,27.0,Homme,11.0,Oui,0.0,2.0,4916.9,3455.6
54,AmeriqueDuSud,,Homme,11.0,Non,1.0,3.0,3936.8,2457.1
55,AmeriqueDuNord,32.0,Homme,7.0,Non,1.0,4.0,4323.1,3307.8
56,AmeriqueDuNord,32.0,Femme,9.0,,1.0,5.0,4416.2,2911.4
57,Asie,25.0,Homme,,Oui,0.0,3.0,2333.8,1571.8
58,Antarctique,37.0,Femme,10.0,Oui,1.0,2.0,6187.1,4382.5
59,AmeriqueDuNord,,Homme,13.0,Oui,1.0,2.0,4961.2,3555.3
60,Afrique,26.0,Homme,12.0,,0.0,2.0,3782.7,2939.2
61,Antarctique,33.0,Femme,12.0,Non,0.0,3.0,,
62,Asie,30.0,Homme,13.0,Oui,0.0,,5818.1,4382.0
63,Asie,31.0,Homme,11.0,Non,0.0,4.0,,
64,AmeriqueDuSud,42.0,Femme,8.0,Non,0.0,6.0,2755.7,1932.7
65,AmeriqueDuSud,30.0,Femme,12.0,Oui,,5.0,4111.3,3160.3
66,Asie,33.0,Femme,13.0,Oui,0.0,3.0,5190.6,4085.9
67,Afrique,40.0,Homme,6.0,Non,1.0,6.0,2674.6,2048.7
68,Europe,42.0,Homme,9.0,Oui,1.0,5.0,4973.7,3635.1
69,Antarctique,33.0,Homme,13.0,Non,1.0,3.0,5910.5,4370.6
70,Asie,43.0,Femme,11.0,Non,1.0,6.0,4256.1,2450.1
71,Afrique,,Homme,10.0,Non,1.0,5.0,2846.3,1785.5
72,Oceanie,40.0,Femme,9.0,Oui,1.0,3.0,4822.4,3908.0
73,AmeriqueDuSud,,Homme,8.0,Oui,1.0,3.0,4104.1,2444.7
74,Oceanie,32.0,Femme,9.0,,1.0,4.0,4468.3,3321.2
75,AmeriqueDuSud,45.0,Femme,13.0,Oui,0.0,6.0,4479.8,2953.0
76,Afrique,34.0,Homme,9.0,Oui,0.0,,3760.9,2881.7
77,Asie,25.0,Femme,8.0,Non,1.0,4.0,3755.9,2492.8
78,Antarctique,43.0,Homme,8.0,Non,,3.0,4685.7,3462.5
79,AmeriqueDuNord,46.0,Femme,9.0,Oui,0.0,5.0,4412.4,2829.7
80,Oceanie,41.0,Homme,13.0,Oui,0.0,5.0,5337.5,3403.9
81,Afrique,32.0,Homme,10.0,Non,0.0,5.0,3068.3,2390.9
82,Europe,,Femme,14.0,Non,1.0,4.0,4137.2,3161.6
83,Asie,41.0,Homme,6.0,Non,0.0,,3200.7,1995.2
84,Antarctique,45.0,Femme,12.0,Non,0.0,3.0,5386.6,3786.1
85,Antarctique,39.0,Homme,13.0,Oui,0.0,4.0,5629.6,3838.8
86,AmeriqueDuSud,,Homme,7.0,Oui,1.0,5.0,3900.3,2857.0
87,Afrique,24.0,Femme,6.0,Non,1.0,4.0,2249.1,1760.8
88,Antarctique,33.0,Femme,11.0,Oui,0.0,6.0,5211.5,4222.6
89,Europe,46.0,Femme,7.0,Non,1.0,4.0,4236.6,3116.7
90,AmeriqueDuSud,38.0,Femme,7.0,Oui,,4.0,3851.7,2816.0
91,AmeriqueDuNord,47.0,Femme,13.0,Oui,0.0,5.0,5743.4,4403.7
92,Europe,35.0,Homme,12.0,,0.0,5.0,4679.2,3349.4
93,Asie,38.0,Femme,8.0,Oui,1.0,3.0,,
94,AmeriqueDuNord,26.0,Femme,7.0,Non,1.0,3.0,,
95,AmeriqueDuSud,29.0,Femme,9.0,Oui,1.0,3.0,4489.2,2976.1
96,AmeriqueDuNord,42.0,Homme,8.0,Oui,0.0,4.0,4616.8,3549.1
97,Europe,46.0,Femme,6.0,Oui,,4.0,4552.6,3012.2
98,Antarctique,35.0,Femme,12.0,Non,1.0,,5593.0,4232.0
99,Antarctique,42.0,Femme,12.0,Oui,1.0,5.0,6022.0,4708.6
