etablissement_id,type_etablissement,periode,date,annee,semestre,reforme,post,interaction_did,budget_education,nb_eleves,ratio_eleves_enseignant,taux_pauvrete,niveau_urbanisation,approche_pedagogique,score_tests,taux_emploi_jeunes,log_budget,log_nb_eleves,groupe,periode_relative,phase
1,Lycée,1,2015-01-01,2015,1,0,0,0,1109.1127759699405,439.73827728223216,23.701893011288025,21.08622330338703,63.31399168418017,Expérimentale,76.86195797227178,59.405062823926706,7.01131567376709,6.08617972557555,Non réformé,-1,Pre-réforme
2,Lycée,1,2015-01-01,2015,1,0,0,0,744.1831892633668,904.3949247389598,16.453743211640422,8.907760685610786,81.6058579483334,Progressive,80.06784257940886,50.98351503858909,6.61228722665358,6.807266128644327,Non réformé,-1,Pre-réforme
3,Lycée,1,2015-01-01,2015,1,0,0,0,939.8617340820317,502.82145297562835,34.29018875304276,16.07237590451842,19.176330322878947,Expérimentale,69.01923777832519,53.69058223323504,6.845732773042954,6.220235142821848,Non réformé,-1,Pre-réforme
4,Lycée,1,2015-01-01,2015,1,0,0,0,1122.1322740132953,479.14173159628467,30.14742475483859,23.241259873950682,65.92488935525115,Mixte,74.41687397136978,51.50685730619501,7.022985970411458,6.171996444241597,Non réformé,-1,Pre-réforme
5,Lycée,1,2015-01-01,2015,1,0,0,0,1092.5455889463274,332.6255719559606,20.098360605464322,8.161303479442509,70.40494031090917,Progressive,79.38575748456057,51.29494588271554,6.996265655111771,5.8070174488182404,Non réformé,-1,Pre-réforme
6,Lycée,1,2015-01-01,2015,1,0,0,0,1115.1003534348945,581.9223819931659,29.69216418297998,23.74088848507627,34.10576198570209,Mixte,77.2703213259326,47.87920504494082,7.016699682924807,6.366337074564721,Non réformé,-1,Pre-réforme
7,Lycée,1,2015-01-01,2015,1,1,0,0,1101.486090288371,694.2458912903373,26.965988713382636,35.05970230212472,69.88400270954446,Mixte,70.82179586986166,50.57520856535406,7.004415538190237,6.5428262079703865,Réformé,-1,Pre-réforme
8,Lycée,1,2015-01-01,2015,1,0,0,0,853.7987698748044,315.21232102415604,18.069248320293916,28.986459206377855,70.89255402306803,Expérimentale,78.6489464827092,50.98391056048919,6.749695533557778,5.75324644676339,Non réformé,-1,Pre-réforme
9,Lycée,1,2015-01-01,2015,1,1,0,0,931.0167991761632,606.1343174419029,19.976584670017743,23.21758623096416,,Traditionnelle,74.21619391144293,51.98760681486495,6.836277321342159,6.407101607453216,Réformé,-1,Pre-réforme
10,Lycée,1,2015-01-01,2015,1,0,0,0,881.6330029345172,483.33812274987616,21.738906561744137,28.986570510840345,52.320800178101706,Mixte,72.64921196041072,56.24974839397539,6.7817758729685185,6.18071645583509,Non réformé,-1,Pre-réforme
11,Lycée,1,2015-01-01,2015,1,0,0,0,1050.0187274382617,564.5920590035258,30.63575224127775,16.014791552811328,85.32161112878633,Mixte,77.21082181874247,53.117415065268766,6.956563278648003,6.336103450902069,Non réformé,-1,Pre-réforme
12,Lycée,1,2015-01-01,2015,1,0,0,0,,334.9423812598843,26.164181278577423,16.466640953400887,79.94217044978654,Traditionnelle,73.82017438085316,50.48292620659531,,5.813958520792866,Non réformé,-1,Pre-réforme
13,Lycée,1,2015-01-01,2015,1,0,0,0,1265.106282940439,297.2654543210121,16.482164279919687,24.91211310782047,6.3878385251162655,Traditionnelle,77.12690327641081,54.97294206779711,7.1429114157670295,5.694625525206832,Non réformé,-1,Pre-réforme
14,Lycée,1,2015-01-01,2015,1,1,0,0,1513.7211683142286,625.015918154651,22.536681060929027,18.188389155781742,40.55194385484503,Expérimentale,76.04675609633647,52.29703272563879,7.322326248155265,6.437777118459512,Réformé,-1,Pre-réforme
15,Lycée,1,2015-01-01,2015,1,0,0,0,815.8685711059355,365.5172612297283,23.514215129186248,36.73338334199261,65.38529409775533,Progressive,79.7646277130712,53.63507526134947,6.7042532771706185,5.90131350442143,Non réformé,-1,Pre-réforme
16,Lycée,1,2015-01-01,2015,1,1,0,0,1265.5117108040424,678.8999492948705,15.126768049960758,7.2786722268764485,51.99277037384161,Traditionnelle,78.44617227243968,49.2427748592482,7.143231833837299,6.520473766620414,Réformé,-1,Pre-réforme
17,Lycée,1,2015-01-01,2015,1,1,0,0,,292.12507341828655,24.64265385838806,12.819858854633669,32.60206849847613,Progressive,78.19312004449033,49.94255809076957,,5.6771820441838905,Réformé,-1,Pre-réforme
18,Lycée,1,2015-01-01,2015,1,0,0,0,908.9711054033738,361.61461514720946,18.56142497653693,23.044700821306993,49.8035768364281,Mixte,78.80488496566757,51.770802613574105,6.812313306437241,5.890579045696837,Non réformé,-1,Pre-réforme
19,Lycée,1,2015-01-01,2015,1,1,0,0,1144.783379179846,369.8458317643085,20.55642725595973,22.57659217787573,62.55531164538879,Progressive,77.40256800578248,50.027903300366035,7.042970709600723,5.913086247899552,Réformé,-1,Pre-réforme
20,Lycée,1,2015-01-01,2015,1,1,0,0,721.5019375419193,758.5600729712836,21.62572350035614,19.220380836052836,64.8609634300364,Mixte,72.30775872345642,49.714361165472894,6.581335063646105,6.631421995350919,Réformé,-1,Pre-réforme
21,Lycée,1,2015-01-01,2015,1,1,0,0,776.0228858818981,494.149199795158,27.329945651948726,22.795035469741784,66.85763579083752,Mixte,73.01330700190961,52.106109294644206,6.654182011864183,6.202837495464731,Réformé,-1,Pre-réforme
22,Lycée,1,2015-01-01,2015,1,0,0,0,1033.4071008693872,648.2727028602835,26.699749068861976,23.709208637915427,67.49295963630995,Expérimentale,73.67484415378372,50.17058682353653,6.940616487195247,6.4743114455722575,Non réformé,-1,Pre-réforme
