etablissement_id,type_etablissement,periode,date,annee,semestre,reforme,post,interaction_did,budget_education,nb_eleves,ratio_eleves_enseignant,taux_pauvrete,niveau_urbanisation,approche_pedagogique,score_tests,taux_emploi_jeunes,log_budget,log_nb_eleves,groupe,periode_relative,phase
1,Lycée,1,2015-01-01,2015,1,0,0,0,1445.496466357821,696.2249427922403,31.909555933665686,23.200814769929277,62.79904506970561,Progressive,78.27823173076054,54.35888285535486,7.2762081168721755,6.545672801785608,Non réformé,-1,Pre-réforme
2,Lycée,1,2015-01-01,2015,1,1,0,0,733.6198068341348,325.7049903176438,28.944983429295462,5.282661486214604,72.95078114762319,Mixte,75.55102396206102,49.420174554411425,6.59799092007905,5.785992033987481,Réformé,-1,Pre-réforme
3,Lycée,1,2015-01-01,2015,1,0,0,0,855.0162148141821,436.9791322487116,30.389745759867935,27.235504584489483,41.11063749366865,Expérimentale,72.15259107071724,54.31967783975887,6.751120433451883,6.0798854416641355,Non réformé,-1,Pre-réforme
4,Lycée,1,2015-01-01,2015,1,0,0,0,820.6543519049778,475.2421184324774,19.869779423344923,33.70040800607615,71.18576046694595,Progressive,78.03741033494786,55.73056100974919,6.710102012161481,6.163824397185735,Non réformé,-1,Pre-réforme
5,Lycée,1,2015-01-01,2015,1,1,0,0,,523.2840393028453,30.712002775883015,5.0,30.755504598128915,Expérimentale,72.02087625175592,44.86108717837095,,6.260124412822915,Réformé,-1,Pre-réforme
6,Lycée,1,2015-01-01,2015,1,0,0,0,934.4224828934482,296.09642644870854,18.43366053985019,30.57141234160043,79.71629615165583,Expérimentale,79.91305080954106,53.36989218652843,6.839928673100256,5.690685166303575,Non réformé,-1,Pre-réforme
7,Lycée,1,2015-01-01,2015,1,0,0,0,899.3138723180972,673.9093176836694,22.422288022420155,29.20779030127273,0.7603051824893612,Expérimentale,71.59234079890057,46.27610946047291,6.801632108486024,6.51309555836448,Non réformé,-1,Pre-réforme
8,Lycée,1,2015-01-01,2015,1,1,0,0,808.4719685544445,370.6083858740865,23.460690566248374,21.187751359544425,34.19278565664966,Progressive,74.96606005409838,48.79713318776187,6.69514600748778,5.915145941426032,Réformé,-1,Pre-réforme
9,Lycée,1,2015-01-01,2015,1,0,0,0,1036.2591907708488,348.0729384468568,27.593442062619907,16.30194104231096,32.7304410298468,Expérimentale,72.54751216353154,43.18585938061826,6.943372575670341,5.852412051050974,Non réformé,-1,Pre-réforme
10,Lycée,1,2015-01-01,2015,1,0,0,0,812.3578533594773,383.79093819057414,24.646345487330287,5.066872247738965,100.0,Expérimentale,74.73395019281381,58.12386907059792,6.699940949186994,5.950097972535544,Non réformé,-1,Pre-réforme
